ref,Gap Status: SUB15963_KC18_H2OvsACNFA_SPL001_14_87_B.raw (F17),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL002_18_92_B.raw (F18),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL003_30_96_A.raw (F19),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL004_47_67_A.raw (F20),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL005_51_60_D.raw (F21),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL006_68_2017_F.raw (F22),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL007_69_79_A.raw (F23),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL008_75_67_B.raw (F24),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL009_76_67_A.raw (F25),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL010_80_2018_A.raw (F26),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL011_95_81_D.raw (F27),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL012_101_81_A.raw (F28),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL013_108_2015_B.raw (F29),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL014_109_79_A.raw (F30),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL015_124_99_B.raw (F31),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL016_148_84_A.raw (F32),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL017_173_83_A.raw (F33),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL018_206_2004_A.raw (F34),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL019_219_2000_A.raw (F35),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL020_220_2000_B.raw (F36),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL021_227_2006_B.raw (F37),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL022_229_98_B.raw (F38),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL023_240_96_A.raw (F39),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL024_241_2017_D.raw (F40),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL025_249_96_B.raw (F41),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL026_250_89_A.raw (F42),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL027_251_2013_C.raw (F43),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL028_255_2001_B.raw (F44),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL029_259_2000_A.raw (F45),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL030_280_2015_A.raw (F46),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL031_292_2011_A.raw (F47),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL032_293_2003_C.raw (F48),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL033_299_78_B.raw (F49),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL034_301_86_A.raw (F50),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL035_312_2018_C.raw (F51),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL036_327_2022_MASS.raw (F52),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL037_338_92_B.raw (F53),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL038_340_2014_D.raw (F54),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL039_341_81_MASS.raw (F55),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL040_347_92_B.raw (F56),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL041_351_95_B.raw (F57),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL042_352_78_C.raw (F58),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL043_355_92_B.raw (F59),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL044_359_92_C.raw (F60),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL045_360_92_G.raw (F61),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL046_363_92_C.raw (F62),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL047_368_95_C.raw (F63),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL048_370_92_A.raw (F64),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL049_373_2001_A.raw (F65),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL050_375_97_A.raw (F66),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL051_379_97_A.raw (F67),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL052_381_83_A.raw (F68),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL053_386_81_D.raw (F69),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL054_392_2018_A.raw (F70),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL055_392_92_A.raw (F71),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL056_393_2004_B.raw (F72),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL057_393_96_A.raw (F73),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL058_395_65_A.raw (F74),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL059_398_62_D.raw (F75),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL060_412_2018_D.raw (F76),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL061_419_2008_A.raw (F77),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL062_438_2011_B.raw (F78),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL063_449_87_C.raw (F79),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL064_453_87_B.raw (F80),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL065_486_95_A.raw (F81),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL066_488_94_C.raw (F82),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL067_507_93_B.raw (F83),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL068_512_83_D.raw (F84),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL069_534_2002_MASS.raw (F85),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL070_538_78_A.raw (F86),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL071_543_49_B.raw (F87),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL072_543_93_A.raw (F88),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL073_584_2008_B.raw (F89),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL074_627_2016_A.raw (F90),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL075_648_89_A.raw (F91),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL076_650_2010_A.raw (F92),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL077_679_87_A.raw (F93),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL078_683_75_A.raw (F94),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL079_694_83_A.raw (F95),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL080_694_88_B.raw (F96),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL081_695_88_B.raw (F97),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL082_701_89_B.raw (F98),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL083_708_37_A.raw (F99),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL084_742_90_A.raw (F100),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL085_759_2016_D.raw (F101),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL086_772_94_B.raw (F102),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL087_787_82_MASS.raw (F103),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL088_791_82_A.raw (F104),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL089_796_85_A.raw (F105),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL090_798_65_A.raw (F106),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL091_806_84_A.raw (F107),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL092_815_84_A.raw (F108),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL093_856_84_A.raw (F109),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL094_877_80_A.raw (F110),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL095_906_87_A.raw (F111),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL096_911_79_MASS.raw (F112),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL097_933_4_A.raw (F113),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL098_937_50_A.raw (F114),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL099_939_73_B.raw (F115),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL100_950_83_A.raw (F116),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL101_973_81_A.raw (F117),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL102_975_83_B.raw (F118),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL103_978_83_A.raw (F119),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL104_1040_90_C.raw (F120),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL105_1089_81_B.raw (F121),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL106_1237_51_A.raw (F122),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL107_1294_83_A.raw (F123),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL108_1310_84_B.raw (F124),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL109_1387_82_C.raw (F125),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL110_1449_77_A.raw (F126),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL111_1453_77_MASS.raw (F127),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL112_1481_23_A.raw (F128),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL113_1518_83_B.raw (F129),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL114_1652_77_F.raw (F130),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL115_1706_80_A.raw (F131),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL116_1723_80_B.raw (F132),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL117_1797_77_C.raw (F133),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL118_1804_77_C.raw (F134),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL119_1838_80_D.raw (F135),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL120_1903_80_B.raw (F136),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL121_2025_1_A.raw (F137),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL122_2025_2_A.raw (F138),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL123_2025_3_A.raw (F139),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL124_2025_4_A.raw (F140),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL125_2025_5_A.raw (F141),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL126_3025_A.raw (F142),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL127_7178_C.raw (F143),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL128_7533_B.raw (F144),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL129_11822_A.raw (F145),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL130_15118_3_A.raw (F146),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL131_17988_B.raw (F147),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL132_18294_A.raw (F148),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL133_19571_E.raw (F149),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL134_20187_C.raw (F150),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL135_21064_B.raw (F151),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL136_22144_G.raw (F152),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL137_22677_A.raw (F153),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL138_2026_7_A.raw (F154),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL139_2025_6_A.raw (F155),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL140_153_2024_A.raw (F156),Gap Status: SUB15963_KC18_H2OvsACNFA_SPL141_26_81_A.raw (F157)
573.206@39.79,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap
329.18243@39.27,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap
576.47625@48.72,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap
702.12056@30.76,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap
622.28215@29.05,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap
382.30907@32.73,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap
476.10951@36.71,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap
600.19746@32.22,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap
308.23413@43.13,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap
553.24063@32.4,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap
460.17911@35.36,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap
